entrance_id,aoi_id,node_id,x,y,source,inference_quality,entrance_type,access,osm_id,connector_node_id,connector_length_m,is_primary
ENT_INF_AOI_N10116278344,AOI_N10116278344,N_ENT_000001,806639.0192568551,2480387.059076472,POI_POINT,0.5,POI_POINT,,10116278344,N_OSM_1716516701,15.420473982493387,True
ENT_INF_AOI_N10130558415,AOI_N10130558415,N_ENT_000002,806604.7794948274,2480264.9307962,POI_POINT,0.5,POI_POINT,,10130558415,N_OSM_1716516490,10.611079539346164,True
ENT_INF_AOI_N11816905142,AOI_N11816905142,N_ENT_000003,805900.6221352757,2480231.057924974,POI_POINT,0.5,POI_POINT,,11816905142,N_OSM_11974932067,19.087116395758063,True
ENT_INF_AOI_N12000638399,AOI_N12000638399,N_ENT_000004,806807.7553999191,2480514.615309486,POI_POINT,0.5,POI_POINT,,12000638399,N_OSM_6705213946,15.507823389313012,True
ENT_INF_AOI_N12000685300,AOI_N12000685300,N_ENT_000005,806778.2460640926,2480458.5755996406,POI_POINT,0.5,POI_POINT,,12000685300,N_OSM_12059007406,13.308401903418439,True
ENT_INF_AOI_N12000690387,AOI_N12000690387,N_ENT_000006,806794.3956946394,2480472.130518929,POI_POINT,0.5,POI_POINT,,12000690387,N_OSM_12059007409,15.276027784806514,True
ENT_INF_AOI_N12000690937,AOI_N12000690937,N_ENT_000007,806792.5607085695,2480468.5139169022,POI_POINT,0.5,POI_POINT,,12000690937,N_OSM_12059007409,11.96786773046428,True
ENT_INF_AOI_N12000695690,AOI_N12000695690,N_ENT_000008,806791.145044455,2480513.376864436,POI_POINT,0.62,POI_POINT,,12000695690,N_OSM_12059007402,9.053000785603347,True
ENT_INF_AOI_N12000704517,AOI_N12000704517,N_ENT_000009,806793.2210165329,2480519.3924366357,POI_POINT,0.5,POI_POINT,,12000704517,N_OSM_12059007402,11.913969187824705,True
ENT_INF_AOI_N12000709670,AOI_N12000709670,N_ENT_000010,806781.86792985,2480496.2894072207,POI_POINT,0.5,POI_POINT,,12000709670,N_OSM_1716517297,14.964700243198253,True
ENT_INF_AOI_N12000710752,AOI_N12000710752,N_ENT_000011,806788.1226434757,2480501.5565616707,POI_POINT,0.5,POI_POINT,,12000710752,N_OSM_12059007402,14.539557709577789,True
ENT_INF_AOI_N12000722504,AOI_N12000722504,N_ENT_000012,806785.9645862499,2480505.3932208037,POI_POINT,0.5,POI_POINT,,12000722504,N_OSM_12059007402,10.165242981522546,True
ENT_INF_AOI_N12000723697,AOI_N12000723697,N_ENT_000013,806805.6970926751,2480510.3070530677,POI_POINT,0.5,POI_POINT,,12000723697,N_OSM_6705213946,19.01724989699608,True
ENT_INF_AOI_N12000728581,AOI_N12000728581,N_ENT_000014,806804.3197676346,2480507.5197597127,POI_POINT,0.5,POI_POINT,,12000728581,N_OSM_6705213946,21.58723316084322,True
ENT_INF_AOI_N12000734856,AOI_N12000734856,N_ENT_000015,806778.2398327882,2480484.867207806,POI_POINT,0.5,POI_POINT,,12000734856,N_OSM_12059007399,20.560086670795798,True
ENT_INF_AOI_N12000746817,AOI_N12000746817,N_ENT_000016,806795.5325798137,2480486.518204001,POI_POINT,0.5,POI_POINT,,12000746817,N_OSM_12059007409,29.631034033795586,True
ENT_INF_AOI_N12000755687,AOI_N12000755687,N_ENT_000017,806795.5612496786,2480479.3583758264,POI_POINT,0.5,POI_POINT,,12000755687,N_OSM_12059007409,22.471490643648032,True
ENT_INF_AOI_N12000760003,AOI_N12000760003,N_ENT_000018,806795.5266906397,2480477.983248702,POI_POINT,0.5,POI_POINT,,12000760003,N_OSM_12059007409,21.096164158819548,True
ENT_INF_AOI_N12000760582,AOI_N12000760582,N_ENT_000019,806792.3277157844,2480492.207325925,POI_POINT,0.5,POI_POINT,,12000760582,N_OSM_1716517297,24.07165103124345,True
ENT_OSM_N7905532121,AOI_N12000806607,N_ENT_000020,806630.7475609279,2480421.6550831688,OSM_ENTRANCE,1.0,yes,,7905532121,N_OSM_1716516890,11.580796196019643,True
ENT_INF_AOI_N12000848156,AOI_N12000848156,N_ENT_000021,806619.9600841261,2480368.9686528104,POI_POINT,0.5,POI_POINT,,12000848156,N_OSM_1716516701,29.86645330723204,True
ENT_INF_AOI_N12002187646,AOI_N12002187646,N_ENT_000022,806716.214590486,2480480.1786176055,POI_POINT,0.62,POI_POINT,,12002187646,N_OSM_2637769477,7.465305606866209,True
ENT_INF_AOI_N12002228380,AOI_N12002228380,N_ENT_000023,806772.6138752793,2480469.725422234,POI_POINT,0.5,POI_POINT,,12002228380,N_OSM_12059007399,11.408363034825287,True
ENT_INF_AOI_N12002242310,AOI_N12002242310,N_ENT_000024,806703.0272473078,2480457.5713283517,POI_POINT,0.62,POI_POINT,,12002242310,N_OSM_2637769380,9.88445952066831,True
ENT_INF_AOI_N12002267521,AOI_N12002267521,N_ENT_000025,806714.1474359655,2480468.0004217955,POI_POINT,0.72,POI_POINT,,12002267521,N_OSM_2637769423,2.859851443511267,True
ENT_INF_AOI_N12002267550,AOI_N12002267550,N_ENT_000026,806624.0229457298,2480397.4579787254,POI_POINT,0.62,POI_POINT,,12002267550,N_OSM_1716516701,3.901469415721569,True
ENT_INF_AOI_N12002272820,AOI_N12002272820,N_ENT_000027,806695.0188155028,2480457.5787644424,POI_POINT,0.5,POI_POINT,,12002272820,N_OSM_12082853287,13.329075599172702,True
ENT_INF_AOI_N12002275654,AOI_N12002275654,N_ENT_000028,806618.0929279394,2480362.8131625396,POI_POINT,0.35,POI_POINT,,12002275654,N_OSM_1716516542,34.87655185210005,True
ENT_INF_AOI_N12002283612,AOI_N12002283612,N_ENT_000029,806637.9876574709,2480382.4275993854,POI_POINT,0.5,POI_POINT,,12002283612,N_OSM_1716516701,18.343492646364684,True
ENT_INF_AOI_N12002314402,AOI_N12002314402,N_ENT_000030,806624.7966943092,2480403.658296774,POI_POINT,0.62,POI_POINT,,12002314402,N_OSM_1716516701,6.6737440278347595,True
ENT_INF_AOI_N12002325638,AOI_N12002325638,N_ENT_000031,806638.4996250743,2480444.4537905236,POI_POINT,0.5,POI_POINT,,12002325638,N_OSM_1716516890,12.723961364255016,True
ENT_INF_AOI_N12002331327,AOI_N12002331327,N_ENT_000032,806625.8865735959,2480408.989232151,POI_POINT,0.5,POI_POINT,,12002331327,N_OSM_1716516701,11.413762241257935,True
ENT_INF_AOI_N12002341738,AOI_N12002341738,N_ENT_000033,806636.629981185,2480440.5039995825,POI_POINT,0.62,POI_POINT,,12002341738,N_OSM_1716516890,8.54885342578438,True
ENT_INF_AOI_N12002486325,AOI_N12002486325,N_ENT_000034,806713.4986423327,2480550.598082772,POI_POINT,0.62,POI_POINT,,12002486325,N_OSM_2637769570,8.926292711993623,True
ENT_INF_AOI_N12002503487,AOI_N12002503487,N_ENT_000035,806652.2289711462,2480552.5197952003,POI_POINT,0.5,POI_POINT,,12002503487,N_OSM_12082853277,27.901224121218227,True
ENT_INF_AOI_N12002508530,AOI_N12002508530,N_ENT_000036,806627.0524570777,2480415.6850298755,POI_POINT,0.5,POI_POINT,,12002508530,N_OSM_1716516701,17.948878078802068,True
ENT_INF_AOI_N12002517227,AOI_N12002517227,N_ENT_000037,806645.1980036394,2480504.795935652,POI_POINT,0.5,POI_POINT,,12002517227,N_OSM_2637769472,14.89170580502565,True
ENT_INF_AOI_N12002517231,AOI_N12002517231,N_ENT_000038,806703.7156860346,2480508.6055399342,POI_POINT,0.5,POI_POINT,,12002517231,N_OSM_1716517319,17.085596987450035,True
ENT_INF_AOI_N12002518262,AOI_N12002518262,N_ENT_000039,806621.1518096897,2480442.979233142,POI_POINT,0.5,POI_POINT,,12002518262,N_OSM_9956953609,10.930633026109113,True
ENT_INF_AOI_N12002530660,AOI_N12002530660,N_ENT_000040,806698.4412841203,2480569.275585225,POI_POINT,0.62,POI_POINT,,12002530660,N_OSM_12082853281,8.832052018096785,True
ENT_INF_AOI_N12002533350,AOI_N12002533350,N_ENT_000041,806709.2625204569,2480611.9205243727,POI_POINT,0.5,POI_POINT,,12002533350,N_OSM_2637769735,13.905742074050105,True
